Name,Cost,Role,Traits,Ability,Mana,Description,Unlock
Gwen,3,Magic Fighter,"Shadow Isles, Disruptor",Snip Snip!,0/30,"Dash around target and snip 5 ( ) times, dealing 50/75/120 ( ) magic damage to them and 25/35/60 ( ) damage to all other enemies in a cone. Snips: 5 5 + 1 per 80 Damage: 50/75/120 ( ) Secondary Damage: 25/35/60 ( )",Collect 20Shadow Isles Souls
Jinx,3,Attack Specialist,"Zaun, Gunslinger",Switcheroo!,0/18,"Passive: After attacking 18/18/16 times, switch to Fishbones. While equipped, attacks are replaced with 3 rockets that target random enemies and deal 54/81/134 ( ) physical damage. Number of Attacks: 18/18/16 Damage: 4/6/9 Damage: 54/81/134 50/75/125 ( ) + 4/6/9 ( )",None
Kennen,3,Magic Tank,"Ionia, Yordle, Defender",Slicing Maelstrom,70/125,"Gain 600/700/900 ( ) Shield and summon storm of lightning. 6 waves of bolts hit enemies within, dealing 120/180/290 ( ) magic damage over 3 seconds. The first 3 targets to be struck by 3 bolts are Stunned for 1.5 seconds. Multiple Stuns on the same enemy have 50 % effectiveness. Shield: 600/700/900 ( ) Damage: 120/180/290 ( )","7 unique star levels ofIonia,Yordle, orDefender in combat."
Kobuko & Yuumi,3,Magic Tank,"Yordle, Bruiser, Invoker",You & Me!,30/90,"Passive: Yuumi joins your strongest Kobuko. Every 3 seconds, she alternates between healing the lowest Health ally for 140/180/240 ( ) Health or granting 25/33/50 % Attack Speed to the ally who has dealt the most damage for 4 seconds. Active: Dance, restoring 294/445/669 ( ) Health over 3 seconds. Heal: 140/180/240 ( ) Attack Speed: 25/33/50 % Self Heal: 294/445/669 12 % + 180/240/300 ( )","7 + 6 unique star levels ofYordle,Bruiser, orInvoker"
LeBlanc,3,Magic Caster,"Noxus, Invoker",Distortions,0/60,"Summon 3 dashing mirror images that strike the target and up to 2 other nearby enemies. The target takes 300/450/700 ( ) magic damage and is Stunned for 1 second, while other units hit take 180/270/450 ( ) magic damage. Damage: 300/450/700 ( ) Secondary Damage: 180/270/450 ( )",Sion with 2 items equipped
Leona,3,Magic Tank,Targon,Solar Flare,70/120,"Passive: Reduce instances of incoming damage by 15/30/60 ( ) . Your strongest Leona grants your strongest Diana 3/4/5 Ability Power every second she survives. Active: Call down sun beams on the 3 nearest enemies, Stunning them for 1 second and dealing 80/120/200 ( ) magic damage. Wound and 1% Burn them for 4 seconds. Wound: Reduce healing received by 33% Burn: Deal a percent of the target's max Health as true damage every second Damage Reduction: 15/30/60 ( ) Damage: 80/120/200 ( ) Diana Ability Power: 3/4/5",None
Loris,3,Magic Tank,"Piltover, Warden",Piltover Tussle,70/140,"Gain 700/800/1000 ( ) Shield for 4 seconds. Charge and knock the target backwards, Stunning them and units hit for 1.25 seconds and dealing 150/225/360 ( ) magic damage to them. After charging, force nearby enemies to target this unit. Shield: 700/800/1000 ( ) Damage: 150/225/360 ( )",None
Malzahar,3,Magic Caster,"Void, Disruptor",Void Swarm,0/35,Summon 2 Voidlings that each attack a nearby enemy 8 times. Each attack deals 29/43/68 ( ) magic damage. Damage: 29/43/68 ( ),None
Milio,3,Magic Caster,"Ixtal, Invoker",Ultra Mega Fire Kick!!!,0/60,"Launch a fuemigo at target that bounces 3 times, dealing 190/285/445 ( ) magic damage to enemies hit. The last bounce deals 160/240/375 ( ) magic damage to enemies in a 1 hex radius. Ball Damage: 190/285/445 ( ) Bounce Damage: 160/240/375 ( )",None
Nautilus,3,Magic Tank,"Bilgewater, Juggernaut, Warden",Titan's Wrath,60/120,"Passive: Every 4 seconds and on cast, the next attack deals damage in a 1 hex circle and deals 45/68/108 ( ) bonus magic damage. Active: Gain 465/562/717 ( ) Shield for 4 seconds. Damage: 45/68/108 ( ) Shield: 465/562/717 10 % + 375/400/425 ( )",None
Sejuani,3,Magic Tank,"Freljord, Defender",Winter's Wrath,40/80,"Gain 525/575/675 ( ) Shield for 4 seconds. Strike in a cone and a line. Enemies hit take 70/105/170 ( ) magic damage and are 30% Chilled for 4 seconds. If they are already Chilled , Stun them for 1 second. Chill: Reduce Attack Speed Shield: 525/575/675 ( ) Damage: 70/105/170 ( )",None
Vayne,3,Attack Marksman,"Demacia, Longshot",Tumble,0/40,"Tumble to a nearby hex, then fire a bolt at target that deals 106/160/245 ( ) true damage. Damage: 6/10/15 Damage: 106/160/245 100/150/230 ( ) + 6/10/15 ( )",None
Zoe,3,Magic Caster,Targon,Double Trouble Bubble,30/60,"Passive: Damaging an enemy applies 30% Shred for 6 seconds. Active: Kick 2 bubbles at nearby enemies, dealing 330/500/770 ( ) magic damage and 30% Chilling them for 2 seconds. Shred: Reduce Magic Resist Chill: Reduce Attack Speed Damage: 330/500/770 ( )",None
Aphelios,2,Attack Marksman,Targon,Incendiary Onslaught,0/40,"Start with Infernum equipped. On cast, switch to Severum for 8 ( ) attacks. Infernum : Attacks hit 3 enemies and apply 30 % Sunder for 6 seconds. Severum : Gain 200 % Attack Speed and 10 % Omnivamp. Attacks are replaced with swipes that deal 70/105/175 ( ) physical damage. Sunder: Reduce Armor Severum Attacks: 8 ( ) Damage: 70/105/175 ( )",None
Ashe,2,Attack Marksman,"Freljord, Quickstriker",True Ice Arrow,20/80,Fire an arrow at target that deals 155/225/340 ( ) physical damage to them and 51/74/112 ( ) damage to adjacent enemies. Targets below 30 % max Health take true damage instead. 30% Chill all enemies hit for 3 seconds. Bloodsworn Bond: Attacks fire a bonus arrow for every 10 % Attack Damage granted to Tryndamere by Bloodsworn Bond. These arrows deal 3%/4%/6% ( ) physical damage. (Current Bonus Arrows: X ). Chill: Reduce Attack Speed Damage: 20/30/40 Damage: 155/225/340 135/195/300 ( ) + 20/30/40 ( ) Circle Damage: 51/74/112 33 % of 155/225/340 Bloodsworn Arrow Damage: 3%/4%/6% 5 %,None
Bard,2,Magic Caster,Caretaker,Traveler's Call,0/55,Launch 6 Meeps at nearby enemies that deal 130/185/255 ( ) magic damage. Add an additional Meep for each 3-star unit on your board. (Total Meeps: @TFT16_Bard_Num3Stars@ ) Damage: 130/185/255 ( ),Reroll 4 times before Stage 2 Carousel
Cho'Gath,2,Magic Tank,"Void, Juggernaut",Rupture,40/100,"Restore 200/225/400 ( ) Health and rupture a 2 hex circle beneath target. After a brief delay, enemies within are knocked up for 1.5 seconds and take 88/152/248 ( ) magic damage. Heal: 200/225/400 ( ) Damage: 88/152/248 5 % + 45/75/110 ( )",None
Ekko,2,Magic Fighter,"Zaun, Disruptor",Parallel Convergence,0/40,"Create a 1 hex zone around the target that lasts 3 seconds. The next 3 attacks deal 150/225/340 ( ) bonus magic damage. When the zone ends, it deals 130/195/295 ( ) magic damage + 10 % of the target's damage taken during the duration to all enemies in the zone. Bonus Magic Damage: 150/225/340 ( ) Zone Damage: 130/195/295 ( )",None
Graves,2,Attack Fighter,"Bilgewater, Gunslinger",Collateral Damage,0/50,"Passive: Attacks fire in a cone on target, dealing 45 % damage to other enemies hit. Active: Fire an explosive shell at target, dealing 200/300/450 ( ) physical damage split among enemies in a 1 hex circle. Partners in Crime: When you field Graves and Twisted Fate, both gain bonuses. Damage: 20/30/45 Damage: 200/300/450 180/270/405 ( ) + 20/30/45 ( )",Twisted Fate with 2 items equipped
Neeko,2,Magic Tank,"Ixtal, Arcanist, Defender",Pop Blossom,15/65,"Leap at target and gain 400/475/600 ( ) Shield for 4 seconds. Slam down after a brief delay, dealing 80/120/180 ( ) magic damage to enemies within two hexes and 20% Chilling them for 2 seconds. Chill: Reduce Attack Speed Shield: 400/475/600 ( ) Damage: 80/120/180 ( )",None
Orianna,2,Magic Caster,"Piltover, Invoker",Command: Protect,20/50,"Send the Ball to target, dealing 220/330/500 ( ) magic damage and splitting 120/180/300 ( ) magic damage among enemies within a 1 hex circle. Then grant 60/90/130 ( ) Shield to the two lowest Health allies for 3 seconds. Damage: 220/330/500 ( ) Secondary Damage: 120/180/300 ( ) Shield: 60/90/130 ( )",aPiltover unit with 2 items equipped
Poppy,2,Attack Tank,"Demacia, Yordle, Juggernaut",Hammer Shock,40/80,"Gain 330/410/500 ( ) Shield for 4 seconds and deal 70/105/165 ( ) physical damage to target. After a delay, briefly knock them up and deal the damage again. Bucklers fly out from the target, granting 2 nearby allies 30 % of the Shield gained. Damage: 70/105/165 ( ) Shield: 330/410/500 ( )",Demacian or aYordle with 2 items equipped
Rek'Sai,2,Attack Assassin,"Void, Vanquisher",Burrow,0/30,Dash to the furthest enemy within 3 hexes and deal 160/240/360 ( ) physical damage to them. The next 3 attacks hit adjacent enemies and deal 110/165/260 ( ) physical damage. Damage: 20/30/45 Damage: 160/240/360 140/210/315 ( ) + 20/30/45 ( ) Spin Damage: 110/165/260 ( ),None
Sion,2,Magic Tank,"Noxus, Bruiser",Soul Furnace,0/70,"Passive: Takedowns grant 18/20/50 permanent max Health. (Total: X) Active: Gain 226/247/284 ( ) Shield for 4 seconds. When it breaks, deal 26/47/84 ( ) magic damage to adjacent enemies. Permanent Health 18/20/50 Shield: 226/247/284 4 % + 200/225/250 ( ) Damage: 26/47/84 ( )",None
Teemo,2,Magic Caster,"Yordle, Longshot",Toxic Dart,0/30,"Shoot the closest unpoisoned enemy, dealing 130/200/330 ( ) magic damage and poisoning them for 8 seconds. Poisoned enemies take 35/55/100 ( ) magic damage each second. Damage: 130/200/330 ( ) Damage Per Second: 35/55/100 ( )",None
Tristana,2,Attack Caster,"Yordle, Gunslinger",Buster Shot,0/50,"Fire a massive cannonball at target, dealing 280/420/670 ( ) physical damage. If they are within 2 hexes, knock them back 2 hexes and briefly Stun them. Damage: 30/45/70 Damage: 280/420/670 250/375/600 ( ) + 30/45/70 ( )",None
Tryndamere,2,Attack Fighter,"Freljord, Slayer",Undying Rage,0/50,"Become enraged for 5 seconds. While enraged, gain 15% ( ) Durability and attacks are replaced with a strike that deals 110/160/235 ( ) physical damage. Ignore 30 % of Armor against Chilled enemies. Bloodsworn Bond: Gain increased Move Speed. Gain 10 % Attack Damage, permanently increased by 1 % whenever Ashe or Tryndamere score a kill. (Current Bonus: X) Chill: Reduce Attack Speed Durability: 15% ( ) Damage: 110/160/235 ( )",Ashe with 1 items equipped
Twisted Fate,2,Magic Specialist,"Bilgewater, Quickstriker",Stacked Deck,0/3,"Passive: Attacks deal 50/75/115 ( ) bonus magic damage. After every 3 rd attack, throw 3 cards in a cone that deal 70/105/160 ( ) magic damage, reduced by 50 % for each enemy they pass through. Partners in Crime: When you field Graves and Twisted Fate, both gain bonuses Attack Bonus Damage: 50/75/115 ( ) Damage: 70/105/160 ( )",None
Vi,2,Attack Fighter,"Piltover, Zaun, Defender",Relentless Force,0/30,"Gain 125/150/175 ( ) Shield for 2 seconds. Slam on target, dealing 120/180/270 ( ) physical damage to enemies in a 1 hex range. Every third cast deals 150/225/340 ( ) damage in a 2 hex range instead and knocks up enemies hit for 1 second. Shield: 125/150/175 ( ) Damage: 120/180/270 ( ) Damage: 150/225/340 ( )",None
Xin Zhao,2,Attack Tank,"Demacia, Ionia, Warden",Three Talon Strike,15/70,Strike target 3 times. Each strike deals 65/100/150 ( ) physical damage and restores 105/145/200 ( ) Health. The final one Stuns for 1.5 seconds. Damage: 65/100/150 ( ) Heal: 105/145/200 ( ),None
Yasuo,2,Attack Fighter,"Ionia, Slayer",Sweeping Blade,0/30,"Dash, then deal 93/137/208 ( ) physical damage to adjacent enemies. If only one enemy is hit, deal double damage. Blade Brothers: When Yone casts, your strongest Yasuo blinks to every target Yone hits and deals 100 % physical damage to each. Damage: 8/12/18 Damage: 93/137/208 85/125/190 ( ) + 8/12/18 ( )",None
Yorick,2,Magic Tank,"Shadow Isles, Warden",Mourning Mist,15/75,"Restore 325/370/500 ( ) Health. Throw a globule of black mist at the enemy who has dealt the most damage this combat, preferring unique enemies. It 20% Chills them for 4 seconds and raises the Mana cost of their next cast by 20 . It then deals 123/187/288 ( ) magic damage in 1 hex radius. Chill: Reduce Attack Speed Heal: 325/370/500 7 per 10 + 325/370/500 ( ) Damage: 123/187/288 5 % + 80/110/150",2-star Viego with 1 item equipped
Anivia,1,Magic Caster,"Freljord, Invoker",Frostbite,0/40,"Fire an ice shard at target that deals 325/455/650 ( ) magic damage. If they are Chilled , the damage Critically Strikes. Chill: Reduce Attack Speed Damage: 325/455/650 ( )",None
Blitzcrank,1,Magic Tank,"Zaun, Juggernaut",Static Field,60/105,Gain 400/480/600 ( ) Shield for 4 seconds and deal 56/84/126 ( ) magic damage to all enemies within 1 hex. Shield: 400/480/600 ( ) Damage: 56/84/126 ( ),None
Briar,1,Attack Assassin,"Noxus, Slayer, Juggernaut",Blood Frenzy,0/40,"Leap to the furthest enemy within 2 hexes. For 4 seconds gain increased Move Speed, 25 % Attack Damage, and 300%/300%/350% ( ) decaying Attack Speed. Attack Speed: 300%/300%/350% ( )",None
Caitlyn,1,Attack Caster,"Piltover, Longshot",Ace in the Hole,0/80,"Fire a bullet towards the farthest enemy, dealing 515/775/1205 ( ) physical damage to the first enemy it hits. If they die, the bullet ricochets, dealing excess damage to the next enemy hit. Damage: 40/60/100 Damage: 515/775/1205 475/715/1105 ( ) + 40/60/100 ( )",None
Illaoi,1,Attack Tank,"Bilgewater, Bruiser",Tentacle Smash,40/100,"Restore 249/328/439 ( ) Health and slam a tentacle, dealing 180/270/405 ( ) physical damage to enemies in a line. Heal: 249/328/439 7 % + 200/240/280 ( ) Damage: 180/270/405 ( )",None
Jarvan IV,1,Magic Tank,"Demacia, Defender",Demacian Standard,30/100,Gain 350/425/500 ( ) Shield for 4 seconds. Grant all allies 20%/25%/50% ( ) Attack Speed for 4 seconds. Shield: 350/425/500 ( ) Attack Speed: 20%/25%/50% ( ),None
Jhin,1,Attack Marksman,"Ionia, Gunslinger",Curtain Call,0/70,"For the next 4 attacks, set Attack Speed to 1 , gain infinite range and replace attacks with a cannon shot. Cannon shots deal 160/237/359 ( ) physical damage. The 4th shot deals 144 % more damage. Damage: 15/22/34 Damage: 160/237/359 145/215/325 ( ) + 15/22/34 ( )",None
Kog'Maw,1,Magic Caster,"Void, Arcanist, Longshot",Caustic Spittle,0/30,Deal 140/200/300 ( ) magic damage to target and reduce their Armor and Magic Resist by 8/10/15 . Adjacent enemies are dealt 50 % of the damage and effect. Damage: 140/200/300 ( ) Resistance Reduction 8/10/15,None
Lulu,1,Magic Caster,"Yordle, Arcanist",Whimsy,20/70,"Deal 285/425/635 ( ) magic damage to target and make them dance for 2 seconds. The projectile then bounces to the nearest target, dealing 120/180/270 ( ) magic damage. Damage: 285/425/635 ( ) Secondary Damage: 120/180/270 ( )",None
Piltover Invention,1,N/A,,Piltover Customs Special,0/0,Each item equipped to the invention will determine what it does when it fires.,None
Qiyana,1,Attack Fighter,"Ixtal, Slayer",Clear The Brush,0/30,"Dash to a nearby hex and swing forward, dealing 180/270/445 ( ) physical damage to enemies in a 2 -hex line. Damage: 20/30/45 Damage: 180/270/445 160/240/400 ( ) + 20/30/45 ( )",None
Rumble,1,Magic Tank,"Yordle, Defender",Junkyard Titan,40/110,"Gain 350/430/550 ( ) Shield for 4 seconds. Fire a burst of flames, dealing 72%/108%/162% ( ) magic damage in a cone. Shield: 350/430/550 ( ) Damage: 72%/108%/162% ( )",None
Shen,1,Magic Tank,"Ionia, Bruiser",Stand United,30/90,Grant 250/325/425 ( ) Shield to this unit and a nearby damaged ally for 4 seconds. Shield: 250/325/425 ( ),None
Sona,1,Magic Caster,"Demacia, Invoker",Power Chord,0/30,Deal 130/195/300 ( ) magic damage to 2 nearby enemies and restore 30/40/65 ( ) Health to the lowest Health ally. Damage: 130/195/300 ( ) Heal: 30/40/65 ( ),None
Viego,1,Hybrid Fighter,"Shadow Isles, Quickstriker",Blade of the Ruined King,0/30,"Passive: Gain 10 % ( ) Attack Speed. Active: Deal 55/85/125 ( ) physical damage to target. For the rest of combat, Viego's attacks deal 18/27/42 ( ) bonus stacking magic damage. Attack Speed: 10 % 10 % + 1 % per 6 Damage: 55/85/125 ( ) Stacking Damage: 18/27/42 ( )",None
